Rows Columns Xmin Xmax Ymin Ymax Search_Density Global_Minimum Xpos Ypos Search_Time
10 10 -10.0 10.0 -10.0 10.0 0.1 10000 2.0 4.0 1
10 10 -10.0 10.0 -10.0 10.0 0.2 10000 0.0 0.0 0
10 10 -10.0 10.0 -10.0 10.0 0.3 10000 0.0 0.0 1
10 10 -10.0 10.0 -10.0 10.0 0.4 10000 0.0 0.0 1
10 10 -10.0 10.0 -10.0 10.0 0.5 10000 0.0 0.0 1
10 10 -10.0 10.0 -10.0 10.0 0.6 10000 0.0 0.0 2
10 10 -10.0 10.0 -10.0 10.0 0.7 10000 0.0 0.0 0
10 10 -10.0 10.0 -10.0 10.0 0.8 10000 0.0 0.0 0
10 10 -10.0 10.0 -10.0 10.0 0.9 10000 0.0 0.0 0
10 10 -10.0 10.0 -10.0 10.0 1.0 10000 0.0 0.0 0
10 10 -100.0 100.0 -100.0 100.0 0.1 2147483647 -80.0 -100.0 0
10 10 -100.0 100.0 -100.0 100.0 0.2 10000 0.0 0.0 0
10 10 -100.0 100.0 -100.0 100.0 0.3 10000 0.0 0.0 1
10 10 -100.0 100.0 -100.0 100.0 0.4 10000 0.0 0.0 1
10 10 -100.0 100.0 -100.0 100.0 0.5 10000 0.0 0.0 1
10 10 -100.0 100.0 -100.0 100.0 0.6 10000 0.0 0.0 0
10 10 -100.0 100.0 -100.0 100.0 0.7 10000 0.0 0.0 0
10 10 -100.0 100.0 -100.0 100.0 0.8 10000 0.0 0.0 1
10 10 -100.0 100.0 -100.0 100.0 0.9 10000 0.0 0.0 1
10 10 -100.0 100.0 -100.0 100.0 1.0 10000 0.0 0.0 1
10 10 -1000.0 1000.0 -1000.0 1000.0 0.1 10000 0.0 0.0 0
10 10 -1000.0 1000.0 -1000.0 1000.0 0.2 10000 0.0 0.0 0
10 10 -1000.0 1000.0 -1000.0 1000.0 0.3 10000 0.0 0.0 1
10 10 -1000.0 1000.0 -1000.0 1000.0 0.4 10000 0.0 0.0 0
10 10 -1000.0 1000.0 -1000.0 1000.0 0.5 10000 0.0 0.0 1
10 10 -1000.0 1000.0 -1000.0 1000.0 0.6 10000 0.0 0.0 1
10 10 -1000.0 1000.0 -1000.0 1000.0 0.7 10000 0.0 0.0 1
10 10 -1000.0 1000.0 -1000.0 1000.0 0.8 10000 0.0 0.0 0
10 10 -1000.0 1000.0 -1000.0 1000.0 0.9 10000 0.0 0.0 0
10 10 -1000.0 1000.0 -1000.0 1000.0 1.0 10000 0.0 0.0 0
10 10 -5000.0 5000.0 -5000.0 5000.0 0.1 2147483647 0.0 -5000.0 1
10 10 -5000.0 5000.0 -5000.0 5000.0 0.2 10000 0.0 0.0 1
10 10 -5000.0 5000.0 -5000.0 5000.0 0.3 2147483647 -5000.0 -5000.0 0
10 10 -5000.0 5000.0 -5000.0 5000.0 0.4 10000 0.0 0.0 1
10 10 -5000.0 5000.0 -5000.0 5000.0 0.5 10000 0.0 0.0 0
10 10 -5000.0 5000.0 -5000.0 5000.0 0.6 10000 0.0 0.0 0
10 10 -5000.0 5000.0 -5000.0 5000.0 0.7 10000 0.0 0.0 0
10 10 -5000.0 5000.0 -5000.0 5000.0 0.8 10000 0.0 0.0 0
10 10 -5000.0 5000.0 -5000.0 5000.0 0.9 10000 0.0 0.0 0
10 10 -5000.0 5000.0 -5000.0 5000.0 1.0 10000 0.0 0.0 0
100 100 -10.0 10.0 -10.0 10.0 0.1 0 0.20000000000000107 0.0 1
100 100 -10.0 10.0 -10.0 10.0 0.2 0 -8.4 2.0 1
100 100 -10.0 10.0 -10.0 10.0 0.3 0 9.400000000000002 -3.0 1
100 100 -10.0 10.0 -10.0 10.0 0.4 0 7.600000000000001 -3.0 2
100 100 -10.0 10.0 -10.0 10.0 0.5 0 0.20000000000000107 0.0 1
100 100 -10.0 10.0 -10.0 10.0 0.6 0 -9.4 2.4000000000000004 2
100 100 -10.0 10.0 -10.0 10.0 0.7 0 -2.8 7.800000000000001 4
100 100 -10.0 10.0 -10.0 10.0 0.8 0 -10.0 0.0 4
100 100 -10.0 10.0 -10.0 10.0 0.9 0 9.8 5.0 2
100 100 -10.0 10.0 -10.0 10.0 1.0 0 0.20000000000000107 0.0 1
100 100 -100.0 100.0 -100.0 100.0 0.1 10000 0.0 0.0 0
100 100 -100.0 100.0 -100.0 100.0 0.2 10000 0.0 0.0 1
100 100 -100.0 100.0 -100.0 100.0 0.3 10000 0.0 0.0 1
100 100 -100.0 100.0 -100.0 100.0 0.4 10000 0.0 0.0 2
100 100 -100.0 100.0 -100.0 100.0 0.5 10000 0.0 0.0 1
100 100 -100.0 100.0 -100.0 100.0 0.6 10000 2.0 4.0 2
100 100 -100.0 100.0 -100.0 100.0 0.7 10000 0.0 0.0 1
100 100 -100.0 100.0 -100.0 100.0 0.8 10000 2.0 4.0 1
100 100 -100.0 100.0 -100.0 100.0 0.9 10000 0.0 0.0 1
100 100 -100.0 100.0 -100.0 100.0 1.0 10000 0.0 0.0 1
100 100 -1000.0 1000.0 -1000.0 1000.0 0.1 10000 0.0 0.0 1
100 100 -1000.0 1000.0 -1000.0 1000.0 0.2 10000 0.0 0.0 0
100 100 -1000.0 1000.0 -1000.0 1000.0 0.3 10000 0.0 0.0 1
100 100 -1000.0 1000.0 -1000.0 1000.0 0.4 10000 0.0 0.0 1
